"id","admin_report_id","parameter_name","label","data_type","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by","query_parameter","input_field_type","option_type","option","order_no"
"52","40","externalHrUserId","External HR User ID","number","2026-05-18 15:19:28.001434","2026-05-18 15:19:28.001434","","SYSTEM","SYSTEM","","###externalHrUserId###","input","none","{}","99"
"53","41","externalHrUserId","External HR User ID","number","2026-05-18 15:19:28.001434","2026-05-18 15:19:28.001434","","SYSTEM","SYSTEM","","###externalHrUserId###","input","none","{}","99"
"54","42","externalHrUserId","External HR User ID","number","2026-05-18 15:19:28.001434","2026-05-18 15:19:28.001434","","SYSTEM","SYSTEM","","###externalHrUserId###","input","none","{}","99"
"55","44","externalHrUserId","External HR User ID","number","2026-05-18 15:19:28.001434","2026-05-18 15:19:28.001434","","SYSTEM","SYSTEM","","###externalHrUserId###","input","none","{}","99"
"56","45","externalHrUserId","External HR User ID","number","2026-05-18 15:19:28.001434","2026-05-18 15:19:28.001434","","SYSTEM","SYSTEM","","###externalHrUserId###","input","none","{}","99"
"57","46","externalHrUserId","External HR User ID","number","2026-05-18 15:19:28.001434","2026-05-18 15:19:28.001434","","SYSTEM","SYSTEM","","###externalHrUserId###","input","none","{}","99"
"58","31","externalHrUserId","External HR User ID","number","2026-05-18 15:19:28.001434","2026-05-18 15:19:28.001434","","SYSTEM","SYSTEM","","###externalHrUserId###","input","none","{}","99"
"60","25","locationIds","","","2026-05-19 11:57:34.427083","2026-05-19 11:57:34.427083","","","","","###locationIds###","","","",""
"61","47","locationIds","","","2026-05-19 11:57:34.427083","2026-05-19 11:57:34.427083","","","","","###locationIds###","","","",""
"62","40","locationIds","","","2026-05-19 11:57:34.427083","2026-05-19 11:57:34.427083","","","","","###locationIds###","","","",""
"63","41","locationIds","","","2026-05-19 11:57:34.427083","2026-05-19 11:57:34.427083","","","","","###locationIds###","","","",""
"64","42","locationIds","","","2026-05-19 11:57:34.427083","2026-05-19 11:57:34.427083","","","","","###locationIds###","","","",""
"65","44","locationIds","","","2026-05-19 11:57:34.427083","2026-05-19 11:57:34.427083","","","","","###locationIds###","","","",""
"66","45","locationIds","","","2026-05-19 11:57:34.427083","2026-05-19 11:57:34.427083","","","","","###locationIds###","","","",""
"67","46","locationIds","","","2026-05-19 11:57:34.427083","2026-05-19 11:57:34.427083","","","","","###locationIds###","","","",""
"68","31","locationIds","","","2026-05-19 11:57:34.427083","2026-05-19 11:57:34.427083","","","","","###locationIds###","","","",""
"69","22","locationIds","","","2026-05-19 11:57:34.427083","2026-05-19 11:57:34.427083","","","","","###locationIds###","","","",""
"70","24","locationIds","","","2026-05-19 15:11:34.748691","2026-05-19 15:11:34.748691","","SYSTEM","SYSTEM","","###locationIds###","","","",""
"71","28","locationIds","","","2026-05-19 15:11:34.748691","2026-05-19 15:11:34.748691","","SYSTEM","SYSTEM","","###locationIds###","","","",""
"72","29","locationIds","","","2026-05-19 15:11:34.748691","2026-05-19 15:11:34.748691","","SYSTEM","SYSTEM","","###locationIds###","","","",""
"73","50","locationIds","","","2026-05-19 15:29:20.744693","2026-05-19 15:29:20.744693","","SYSTEM","SYSTEM","","###locationIds###","","","",""
"74","51","locationIds","","","2026-05-19 15:29:20.744693","2026-05-19 15:29:20.744693","","SYSTEM","SYSTEM","","###locationIds###","","","",""
"75","52","locationIds","","","2026-05-19 15:39:34.745281","2026-05-19 15:39:34.745281","","SYSTEM","SYSTEM","","###locationIds###","","","",""
"77","17","companyId","Company ID","number","2026-05-22 08:16:27.944702","2026-05-22 08:16:27.944702","","SYSTEM","SYSTEM","","###companyId###","input","none","{}","1"
"78","17","status","Status","string","2026-05-22 08:16:27.944702","2026-05-22 08:16:27.944702","","SYSTEM","SYSTEM","","###status###","input","none","{}","2"
"79","17","category","Category","string","2026-05-22 08:16:27.944702","2026-05-22 08:16:27.944702","","SYSTEM","SYSTEM","","###category###","input","none","{}","3"
"80","17","search","Search Text","string","2026-05-22 08:16:27.944702","2026-05-22 08:16:27.944702","","SYSTEM","SYSTEM","","###search###","input","none","{}","4"
"81","17","raisedBy","Raised By","string","2026-05-22 08:16:27.944702","2026-05-22 08:16:27.944702","","SYSTEM","SYSTEM","","###raisedBy###","input","none","{}","5"
"84","18","companyId","Company ID","number","2026-05-28 19:18:23.423633","2026-05-28 19:18:23.423633","","SYSTEM","SYSTEM","","###companyId###","input","none","{}","1"
"85","18","policyId","Policy ID","number","2026-05-28 19:18:23.423633","2026-05-28 19:18:23.423633","","SYSTEM","SYSTEM","","###policyId###","input","none","{}","2"
"86","22","policyId","","","2026-06-01 06:18:17.506623","2026-06-01 06:18:17.506623","","SYSTEM","SYSTEM","","###policyId###","","","",""
"87","50","externalHrUserId","External HR User ID","integer","2026-06-01 19:06:18.450915","2026-06-01 19:06:18.450915","","SYSTEM","SYSTEM","","###externalHrUserId###","","","","12"
"88","55","externalHrUserId","External HR User ID","integer","2026-06-01 19:06:18.45826","2026-06-01 19:06:18.45826","","SYSTEM","SYSTEM","","###externalHrUserId###","","","","2"
"305","53","enrollStatus","Enrollment Status","string","2026-06-03 07:36:37.500276","2026-06-03 07:36:37.500276","","SYSTEM","SYSTEM","","###enrollStatus###","input","none","{}","4"
"89","19","companyId","Company","number","2026-06-30 13:32:03.99336","2026-06-30 13:32:03.99336","","SYSTEM","SYSTEM","","###companyId###","hidden","none","{}","1"
"93","60","companyId","Company","number","2026-07-02 14:34:10.225256","2026-07-02 14:34:10.225256","","SYSTEM","SYSTEM","","###companyId###","hidden","none","{}","1"
"94","19","policyId","Policy","number","2026-07-02 14:35:06.335398","2026-07-02 14:35:06.335398","","SYSTEM","SYSTEM","","###policyId###","hidden","none","{}","2"
"97","59","policyId","Policy","number","2026-07-02 15:04:22.700103","2026-07-02 15:04:22.700103","","SYSTEM","SYSTEM","","###policyId###","hidden","none","{}","1"
"98","19","enrollmentPeriodId","Enrollment Period","number","2026-07-02 17:41:44.410718","2026-07-02 17:41:44.410718","","SYSTEM","SYSTEM","","###enrollmentPeriodId###","hidden","none","{}","3"
"101","62","companyId","Company","number","2026-07-13 12:33:36.282489","2026-07-13 12:33:36.282489","","SYSTEM","SYSTEM","","###companyId###","hidden","none","{}","1"
"90","53","policyIds","Policy","number","2026-07-02 14:33:12.817524","2026-07-15 04:43:11.820471","","SYSTEM","SYSTEM","","###policyIds###","hidden","none","{}","2"
"99","53","enrollmentPeriodIds","Enrollment Period","number","2026-07-02 17:42:54.322198","2026-07-15 04:43:11.820471","","SYSTEM","SYSTEM","","###enrollmentPeriodIds###","hidden","none","{}","4"
"102","64","companyId","Company ID","integer","2026-07-15 04:43:11.834736","2026-07-15 04:43:11.834736","","SYSTEM","SYSTEM","","###companyId###","input","none","{}","1"
"103","65","companyId","Company ID","integer","2026-07-15 04:43:11.868927","2026-07-15 04:43:11.868927","","SYSTEM","SYSTEM","","###companyId###","input","none","{}","1"
"104","65","enrollmentPeriodIds","Enrollment Period IDs","varchar","2026-07-15 04:43:11.868927","2026-07-15 04:43:11.868927","","SYSTEM","SYSTEM","","###enrollmentPeriodIds###","input","none","{}","2"
"105","66","companyId","Company ID","number","2026-07-15 04:43:11.872222","2026-07-15 04:43:11.872222","","SYSTEM","SYSTEM","","###companyId###","input","none","{}","1"
"106","66","enrollStatus","Enrollment Status","string","2026-07-15 04:43:11.872222","2026-07-15 04:43:11.872222","","SYSTEM","SYSTEM","","###enrollStatus###","input","none","{}","4"
"107","66","policyIds","Policy","number","2026-07-15 04:43:11.872222","2026-07-15 04:43:11.872222","","SYSTEM","SYSTEM","","###policyIds###","hidden","none","{}","2"
"108","66","enrollmentPeriodIds","Enrollment Period","number","2026-07-15 04:43:11.872222","2026-07-15 04:43:11.872222","","SYSTEM","SYSTEM","","###enrollmentPeriodIds###","hidden","none","{}","4"
