S No,Library_Name,Version,Ecosystem,Recommended Version,License,Dependency_Type,Vulnerabilities,Project,Path
945,@nx/jest,20.6.1,npm,,,Direct,0,package-lock.json,package-lock.json
946,js-sha3,0.8.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
947,typedarray,0.0.6,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
948,util,0.12.5,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
949,vite-node,3.2.4,npm,,,Transitive,0,package-lock.json,package-lock.json
950,parse-filepath,1.0.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
951,streamx,2.23.0,npm,,,Transitive,0,package-lock.json,package-lock.json
952,@insurance-wellness-hub/service-registry,,npm,,,Transitive,0,package-lock.json,package-lock.json
953,mini-css-extract-plugin,2.7.7,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
954,sift,16.0.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
955,@peculiar/asn1-csr,2.6.1,npm,,,Transitive,0,package-lock.json,package-lock.json
956,@napi-rs/nice-linux-s390x-gnu,1.1.1,npm,,,Transitive,0,package-lock.json,package-lock.json
957,@tanstack/react-query,5.90.21,npm,,,Direct,0,package-lock.json,package-lock.json
958,babel-jest,29.7.0,npm,,MIT,Direct,0,package-lock.json,package-lock.json
959,entities,4.5.0,npm,,,Transitive,0,package-lock.json,package-lock.json
960,apps/services/report-service,0.0.1,npm,,,Transitive,0,package-lock.json,package-lock.json
961,simple-swizzle,0.2.4,npm,,,Transitive,0,package-lock.json,package-lock.json
962,apps/services/policy-service-e2e,0.0.1,npm,,,Transitive,0,package-lock.json,package-lock.json
963,slate,0.94.1,npm,,,Transitive,0,package-lock.json,package-lock.json
964,socks-proxy-agent,8.0.5,npm,,,Transitive,0,package-lock.json,package-lock.json
965,css-tree,2.2.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
966,@module-federation/runtime-core,2.2.1,npm,,,Transitive,0,package-lock.json,package-lock.json
967,react-refresh,0.14.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
968,merge-descriptors,2.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
969,@swc/core-linux-arm64-gnu,1.5.29,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
970,babel-plugin-polyfill-regenerator,0.6.8,npm,,,Transitive,0,package-lock.json,package-lock.json
971,sass,1.98.0,npm,,,Direct,0,package-lock.json,package-lock.json
972,@napi-rs/canvas-linux-arm64-musl,0.1.97,npm,,,Transitive,0,package-lock.json,package-lock.json
973,@types/http-proxy,1.17.17,npm,,,Transitive,0,package-lock.json,package-lock.json
974,log-update,6.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
975,@rspack/binding-linux-arm64-gnu,1.7.9,npm,,,Transitive,0,package-lock.json,package-lock.json
976,@types/express-serve-static-core,5.1.1,npm,,,Transitive,0,package-lock.json,package-lock.json
977,is-number,7.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
978,string-width-cjs,4.2.3,npm,,,Transitive,0,package-lock.json,package-lock.json
979,token-types,6.1.2,npm,,,Transitive,0,package-lock.json,package-lock.json
980,@module-federation/enhanced,2.2.1,npm,,,Transitive,0,package-lock.json,package-lock.json
981,chromium-bidi,14.0.0,npm,,,Transitive,0,package-lock.json,package-lock.json
982,bare-stream,2.8.1,npm,,,Transitive,0,package-lock.json,package-lock.json
983,@rspack/lite-tapable,1.1.0,npm,,,Transitive,0,package-lock.json,package-lock.json
984,array.prototype.flatmap,1.3.3,npm,,,Transitive,0,package-lock.json,package-lock.json
985,babel-plugin-polyfill-corejs2,0.4.17,npm,,,Transitive,0,package-lock.json,package-lock.json
986,import-lazy,4.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
987,jsqr,1.4.0,npm,,Apache-2.0,Direct,0,package-lock.json,package-lock.json
988,lodash.once,4.1.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
989,immer,10.2.0,npm,,,Transitive,0,package-lock.json,package-lock.json
990,@module-federation/sdk,0.8.12,npm,,,Transitive,0,package-lock.json,package-lock.json
991,@svgr/babel-plugin-remove-jsx-attribute,8.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
992,@types/stack-utils,2.0.3,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
993,asn1js,3.0.7,npm,,,Transitive,0,package-lock.json,package-lock.json
994,assert-plus,1.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
995,@strapi/database,5.39.0,npm,,,Transitive,0,package-lock.json,package-lock.json
996,@types/d3-array,3.2.2,npm,,,Transitive,0,package-lock.json,package-lock.json
997,interpret,2.2.0,npm,,,Transitive,0,package-lock.json,package-lock.json
998,@date-io/core,3.2.0,npm,,,Transitive,0,package-lock.json,package-lock.json
999,@insurance-wellness-hub/workflow-service-e2e,,npm,,,Transitive,0,package-lock.json,package-lock.json
1000,@types/graceful-fs,4.1.9,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1001,node-machine-id,1.1.12,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1002,html-escaper,2.0.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1003,ansi-regex,6.2.2,npm,,,Transitive,0,package-lock.json,package-lock.json
1004,ansi-escapes,4.3.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1005,estree-walker,2.0.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1006,hmac-drbg,1.0.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1007,mz,2.7.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1008,side-channel-map,1.0.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1009,aws-sign2,0.7.0,npm,,Apache-2.0,Transitive,0,package-lock.json,package-lock.json
1010,babel-plugin-macros,3.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1011,url-parse,1.5.10,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1012,@insurance-wellness-hub/master-data-service-e2e,,npm,,,Transitive,0,package-lock.json,package-lock.json
1013,@radix-ui/react-context,1.1.2,npm,,,Transitive,0,package-lock.json,package-lock.json
1014,@vitejs/plugin-react-swc,3.7.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1015,negotiator,0.6.4,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1016,leven,3.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1017,@insurance-wellness-hub/ibp-service,,npm,,,Transitive,0,package-lock.json,package-lock.json
1018,follow-redirects,1.15.11,npm,,,Transitive,0,package-lock.json,package-lock.json
1019,negotiator,1.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1020,semver-compare,1.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1021,domutils,2.8.0,npm,,BSD-2-Clause,Transitive,0,package-lock.json,package-lock.json
1022,statuses,2.0.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1023,@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,7.27.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1024,keyv,4.5.4,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1025,type-check,0.4.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1026,crypto-js,4.2.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1027,@swc/core-win32-arm64-msvc,1.5.29,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1028,postcss-convert-values,6.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1029,@dnd-kit/modifiers,9.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1030,html-entities,2.6.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1031,@types/keygrip,1.0.6,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1032,@types/semver,7.5.8,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1033,@esbuild/linux-mips64el,0.20.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1034,@module-federation/runtime,2.2.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1035,@webassemblyjs/wasm-opt,1.14.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1036,compress-commons,4.1.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1037,@jest/types,30.3.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1038,basic-auth,2.0.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1039,markdown-it-ins,3.0.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1040,@module-federation/runtime,0.8.12,npm,,,Transitive,0,package-lock.json,package-lock.json
1041,@smithy/uuid,1.1.2,npm,,,Transitive,0,package-lock.json,package-lock.json
1042,has-property-descriptors,1.0.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1043,ospath,1.2.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1044,pdf-parse,1.1.4,npm,,,Direct,0,package-lock.json,package-lock.json
1045,sshpk,1.18.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1046,@parcel/watcher-darwin-x64,2.5.6,npm,,,Transitive,0,package-lock.json,package-lock.json
1047,@nodelib/fs.scandir,2.1.5,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1048,onetime,7.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1049,prebuild-install,7.1.3,npm,,,Transitive,0,package-lock.json,package-lock.json
1050,slice-ansi,3.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1051,to-regex-range,5.0.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1052,validate-npm-package-license,3.0.4,npm,,Apache-2.0,Transitive,0,package-lock.json,package-lock.json
1053,@module-federation/vite,1.5.1,npm,,,Direct,0,package-lock.json,package-lock.json
1054,@babel/preset-typescript,7.28.5,npm,,,Transitive,0,package-lock.json,package-lock.json
1055,array.prototype.findlastindex,1.2.6,npm,,,Transitive,0,package-lock.json,package-lock.json
1056,unist-util-is,6.0.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1057,@babel/plugin-transform-typescript,7.28.6,npm,,,Transitive,0,package-lock.json,package-lock.json
1058,@rollup/rollup-win32-x64-gnu,4.59.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1059,fast-csv,4.3.6,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1060,@verdaccio/hooks,8.0.0-next-8.33,npm,,,Transitive,0,package-lock.json,package-lock.json
1061,@tybys/wasm-util,0.9.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1062,typanion,3.14.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1063,@insurance-wellness-hub/policy-service-e2e,,npm,,,Transitive,0,package-lock.json,package-lock.json
1064,@rollup/rollup-linux-x64-gnu,4.59.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1065,@types/babel__traverse,7.28.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1066,fast-diff,1.1.2,npm,,Apache-2.0,Transitive,0,package-lock.json,package-lock.json
1067,git-url-parse,13.1.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1068,matcher,3.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1069,@microsoft/api-extractor-model,7.33.4,npm,,,Transitive,0,package-lock.json,package-lock.json
1070,@sinclair/typebox,0.27.10,npm,,,Transitive,0,package-lock.json,package-lock.json
1071,cross-env,7.0.3,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1072,@parcel/watcher-linux-arm64-musl,2.5.6,npm,,,Transitive,0,package-lock.json,package-lock.json
1073,upath,2.0.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1074,internal-slot,1.1.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1075,triple-beam,1.4.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1076,@img/sharp-darwin-arm64,0.33.5,npm,,Apache-2.0,Transitive,0,package-lock.json,package-lock.json
1077,@isaacs/cliui,8.0.2,npm,,,Transitive,0,package-lock.json,package-lock.json
1078,@opentelemetry/api,1.9.0,npm,,Apache-2.0,Transitive,0,package-lock.json,package-lock.json
1079,postcss-minify-font-values,6.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1080,hast-util-parse-selector,4.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1081,buffer-equal-constant-time,1.0.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1082,convert-source-map,2.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1083,repeat-string,1.6.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1084,got-cjs,12.5.4,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1085,serve-index,1.9.2,npm,,,Transitive,0,package-lock.json,package-lock.json
1086,std-env,3.10.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1087,domelementtype,2.3.0,npm,,BSD-2-Clause,Transitive,0,package-lock.json,package-lock.json
1088,@img/sharp-libvips-linuxmusl-x64,1.0.4,npm,,LGPL-3.0-only,Transitive,0,package-lock.json,package-lock.json
1089,strnum,2.2.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1090,@codemirror/state,6.6.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1091,archiver-utils,3.0.4,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1092,@jest/reporters,29.7.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1093,css-declaration-sorter,7.3.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1094,unicorn-magic,0.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1095,@babel/plugin-transform-arrow-functions,7.27.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1096,@nodelib/fs.walk,1.2.8,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1097,style-to-object,1.0.14,npm,,,Transitive,0,package-lock.json,package-lock.json
1098,global-agent,3.0.0,npm,,BSD-3-Clause,Transitive,0,package-lock.json,package-lock.json
1099,@emotion/styled,11.14.1,npm,,,Direct,0,package-lock.json,package-lock.json
1100,adler-32,1.3.1,npm,,Apache-2.0,Transitive,0,package-lock.json,package-lock.json
1101,damerau-levenshtein,1.0.8,npm,,BSD-2-Clause,Transitive,0,package-lock.json,package-lock.json
1102,markdown-it-container,3.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1103,querystringify,2.2.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1104,cookie-signature,1.2.2,npm,,,Transitive,0,package-lock.json,package-lock.json
1105,is-set,2.0.3,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1106,spawn-command,0.0.2,npm,,,Transitive,0,package-lock.json,package-lock.json
1107,helmet,6.2.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1108,human-signals,2.1.0,npm,,Apache-2.0,Transitive,0,package-lock.json,package-lock.json
1109,is-string,1.1.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1110,pac-proxy-agent,7.2.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1111,registry-url,5.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1112,@aws-sdk/credential-provider-http,3.972.20,npm,,,Transitive,0,package-lock.json,package-lock.json
1113,@types/unist,2.0.11,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1114,@babel/plugin-syntax-import-meta,7.10.4,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1115,@napi-rs/nice-win32-ia32-msvc,1.1.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1116,@popperjs/core,2.11.8,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1117,@radix-ui/react-use-callback-ref,1.1.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1118,write-file-atomic,4.0.2,npm,,,Transitive,0,package-lock.json,package-lock.json
1119,micromark-util-subtokenize,2.1.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1120,through2,4.0.2,npm,,,Transitive,0,package-lock.json,package-lock.json
1121,string_decoder,0.10.31,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1122,enhanced-resolve,5.20.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1123,stackframe,1.3.4,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1124,@fast-csv/format,4.3.5,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1125,@jest/create-cache-key-function,30.3.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1126,raw-body,3.0.2,npm,,,Transitive,0,package-lock.json,package-lock.json
1127,ts-api-utils,2.4.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1128,estraverse,4.3.0,npm,,BSD-2-Clause,Transitive,0,package-lock.json,package-lock.json
1129,end-of-stream,1.4.5,npm,,,Transitive,0,package-lock.json,package-lock.json
1130,find-pkg,2.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1131,natural-compare,1.4.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1132,stylus-loader,7.1.3,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1133,get-stdin,9.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1134,isbinaryfile,5.0.7,npm,,,Transitive,0,package-lock.json,package-lock.json
1135,apps/services/auth-service-e2e,0.0.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1136,@babel/plugin-syntax-flow,7.28.6,npm,,,Transitive,0,package-lock.json,package-lock.json
1137,on-exit-leak-free,2.1.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1138,react,18.3.1,npm,,,Direct,0,package-lock.json,package-lock.json
1139,sort-package-json,2.10.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1140,schema-utils,4.3.3,npm,,,Transitive,0,package-lock.json,package-lock.json
1141,@jsonjoy.com/fs-print,4.56.11,npm,,,Transitive,0,package-lock.json,package-lock.json
1142,pkg-dir,3.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1143,@formatjs/intl-listformat,7.5.5,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1144,@jsonjoy.com/util,17.67.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1145,@mui/base,5.0.0-dev.20240529-082515-213b5e33ab,npm,,,Transitive,0,package-lock.json,package-lock.json
1146,apps/services/service-registry,0.0.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1147,bin-version-check,5.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1148,fd-slicer,1.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1149,read-pkg-up,7.0.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1150,@types/validator,13.15.10,npm,,,Transitive,0,package-lock.json,package-lock.json
1151,p-map,4.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1152,@volar/typescript,2.4.28,npm,,,Transitive,0,package-lock.json,package-lock.json
1153,@svgr/babel-plugin-replace-jsx-attribute-value,8.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1154,eventsource,2.0.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1155,write-file-atomic,5.0.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1156,parse-passwd,1.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1157,@napi-rs/canvas-darwin-x64,0.1.97,npm,,,Transitive,0,package-lock.json,package-lock.json
1158,http-signature,1.4.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1159,load-yaml-file,0.2.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1160,@sinclair/typebox,0.34.48,npm,,,Transitive,0,package-lock.json,package-lock.json
1161,@nx/nx-darwin-x64,20.6.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1162,@types/keyv,3.1.4,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1163,connect-history-api-fallback,2.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1164,@commitlint/top-level,19.8.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1165,@babel/plugin-transform-unicode-escapes,7.27.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1166,@radix-ui/react-collection,1.0.3,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1167,@smithy/util-utf8,4.2.2,npm,,,Transitive,0,package-lock.json,package-lock.json
1168,@swc/core-linux-arm64-musl,1.5.29,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1169,@types/yauzl,2.10.3,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1170,ora,5.4.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1171,@eslint/plugin-kit,0.4.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1172,@pnpm/network.ca-file,1.0.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1173,@webassemblyjs/helper-wasm-section,1.14.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1174,classnames,2.5.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1175,is-text-path,2.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1176,motion-utils,12.36.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1177,de-indent,1.0.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1178,enquirer,2.3.6,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1179,no-case,3.0.4,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1180,strip-final-newline,2.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1181,@insurance-wellness-hub/search-service-e2e,,npm,,,Transitive,0,package-lock.json,package-lock.json
1182,typescript,5.3.3,npm,,,Direct,0,package-lock.json,package-lock.json
1183,isexe,2.0.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1184,apps/services/notification-service-e2e,0.0.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1185,events,3.3.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1186,@babel/helper-string-parser,7.27.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1187,@mui/x-internals,7.29.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1188,boolbase,1.0.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1189,preferred-pm,3.1.3,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1190,execa,9.6.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1191,deep-is,0.1.4,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1192,set-function-length,1.2.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1193,buffer-indexof-polyfill,1.0.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1194,read-cache,1.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1195,@aws-sdk/middleware-recursion-detection,3.972.8,npm,,,Transitive,0,package-lock.json,package-lock.json
1196,@nestjs/schematics,10.2.3,npm,,MIT,Direct,0,package-lock.json,package-lock.json
1197,buffers,0.1.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1198,koa2-ratelimit,1.1.3,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1199,rfdc,1.4.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1200,split2,4.2.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1201,unload,2.2.0,npm,,Apache-2.0,Transitive,0,package-lock.json,package-lock.json
1202,@testing-library/react,16.3.0,npm,,,Direct,0,package-lock.json,package-lock.json
1203,streamroller,3.1.5,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1204,mime-db,1.54.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1205,es-shim-unscopables,1.1.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1206,tsconfig-paths,4.2.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1207,@jsonjoy.com/json-pack,17.67.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1208,koa-static,5.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1209,noms,0.0.0,npm,,,Transitive,0,package-lock.json,package-lock.json
1210,@commitlint/cli,19.8.1,npm,,,Direct,0,package-lock.json,package-lock.json
1211,@types/formidable,2.0.6,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1212,@typescript-eslint/typescript-estree,8.57.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1213,chardet,0.7.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1214,pause,0.0.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1215,@napi-rs/nice-freebsd-x64,1.1.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1216,@nx/react,20.6.1,npm,,,Direct,0,package-lock.json,package-lock.json
1217,react-helmet,6.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1218,@aws-sdk/credential-provider-web-identity,3.972.20,npm,,,Transitive,0,package-lock.json,package-lock.json
1219,immer,11.1.4,npm,,,Transitive,0,package-lock.json,package-lock.json
1220,is-number-object,1.1.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1221,sisteransi,1.0.5,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1222,@babel/plugin-transform-dynamic-import,7.27.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1223,pumpify,1.5.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1224,text-extensions,2.4.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1225,type-detect,4.0.8,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1226,web-namespaces,2.0.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1227,@babel/preset-modules,0.1.6-no-external-plugins,npm,,,Transitive,0,package-lock.json,package-lock.json
1228,filename-reserved-regex,3.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1229,https-proxy-agent,7.0.6,npm,,,Transitive,0,package-lock.json,package-lock.json
1230,is-stream,4.0.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1231,@insurance-wellness-hub/workflow-service,,npm,,,Transitive,0,package-lock.json,package-lock.json
1232,mdast-util-to-string,4.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1233,@babel/plugin-syntax-object-rest-spread,7.8.3,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1234,eslint-visitor-keys,5.0.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1235,loader-utils,2.0.4,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1236,@nestjs/mapped-types,2.1.0,npm,,,Direct,0,package-lock.json,package-lock.json
1237,@types/picomatch,4.0.2,npm,,,Transitive,0,package-lock.json,package-lock.json
1238,nanoid,3.3.11,npm,,,Transitive,0,package-lock.json,package-lock.json
1239,@borewit/text-codec,0.2.2,npm,,,Transitive,0,package-lock.json,package-lock.json
1240,@emotion/babel-plugin,11.13.5,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1241,array-union,3.0.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1242,date-fns,4.1.0,npm,,,Direct,0,package-lock.json,package-lock.json
1243,html-url-attributes,3.0.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1244,@module-federation/runtime-tools,2.2.1,npm,,,Transitive,0,package-lock.json,package-lock.json
1245,@swc/types,0.1.25,npm,,,Transitive,0,package-lock.json,package-lock.json
1246,@types/istanbul-reports,3.0.4,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1247,jest-config,29.7.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
1248,purest,4.0.2,npm,,Apache-2.0,Transitive,0,package-lock.json,package-lock.json
1249,react-style-singleton,2.2.3,npm,,,Transitive,0,package-lock.json,package-lock.json
1250,@insurance-wellness-hub/master-data-service,,npm,,,Transitive,0,package-lock.json,package-lock.json
1251,@types/debug,4.1.12,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
