S No,Library_Name,Version,Ecosystem,Recommended Version,License,Dependency_Type,Vulnerabilities,Project,Path
151,is-interactive,2.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
152,postcss-minify-params,6.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
153,typescript,5.7.2,npm,,,Direct,0,package-lock.json,package-lock.json
154,utrie,1.0.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
155,@jridgewell/trace-mapping,0.3.9,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
156,parse-srcset,1.0.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
157,mini-css-extract-plugin,2.4.7,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
158,find-up,6.3.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
159,require-from-string,2.0.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
160,sonic-boom,3.8.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
161,vfile-location,5.0.3,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
162,node-int64,0.4.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
163,sort-keys-length,1.0.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
164,@babel/plugin-transform-private-property-in-object,7.28.6,npm,,,Transitive,0,package-lock.json,package-lock.json
165,@types/connect,3.4.38,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
166,gsap,3.14.2,npm,,,Direct,0,package-lock.json,package-lock.json
167,one-time,1.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
168,@reduxjs/toolkit,2.11.2,npm,,,Direct,0,package-lock.json,package-lock.json
169,big.js,5.2.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
170,@rushstack/node-core-library,5.13.0,npm,,,Transitive,0,package-lock.json,package-lock.json
171,is-async-function,2.1.1,npm,,,Transitive,0,package-lock.json,package-lock.json
172,postcss-modules-values,4.0.0,npm,,,Transitive,0,package-lock.json,package-lock.json
173,@lezer/highlight,1.2.3,npm,,,Transitive,0,package-lock.json,package-lock.json
174,mimic-response,1.0.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
175,@esbuild/android-arm64,0.25.12,npm,,,Transitive,0,package-lock.json,package-lock.json
176,@esbuild/linux-ia32,0.25.12,npm,,,Transitive,0,package-lock.json,package-lock.json
177,execa,5.1.1,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
178,pkg-up,3.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
179,@svgr/babel-plugin-add-jsx-attribute,8.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
180,@webpack-cli/info,2.0.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
181,eslint,9.39.4,npm,,,Direct,0,package-lock.json,package-lock.json
182,@babel/plugin-transform-template-literals,7.27.1,npm,,,Transitive,0,package-lock.json,package-lock.json
183,char-regex,1.0.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
184,@zkochan/js-yaml,0.0.7,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
185,atomic-sleep,1.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
186,slate-react,0.98.3,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
187,@aws-sdk/credential-provider-env,3.972.18,npm,,,Transitive,0,package-lock.json,package-lock.json
188,chalk,5.6.2,npm,,,Transitive,0,package-lock.json,package-lock.json
189,hast-util-whitespace,3.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
190,libreoffice-convert,1.8.1,npm,,,Direct,0,package-lock.json,package-lock.json
191,sass-embedded-win32-arm64,1.98.0,npm,,,Transitive,0,package-lock.json,package-lock.json
192,@aws-sdk/middleware-logger,3.972.8,npm,,,Transitive,0,package-lock.json,package-lock.json
193,@types/jest,29.5.14,npm,,MIT,Direct,0,package-lock.json,package-lock.json
194,eslint-config-prettier,9.1.2,npm,,,Direct,0,package-lock.json,package-lock.json
195,inquirer,8.2.5,npm,,,Transitive,0,package-lock.json,package-lock.json
196,@module-federation/runtime-tools,0.22.0,npm,,,Transitive,0,package-lock.json,package-lock.json
197,@swc/counter,0.1.3,npm,,Apache-2.0,Transitive,0,package-lock.json,package-lock.json
198,jws,3.2.3,npm,,,Transitive,0,package-lock.json,package-lock.json
